Cluster,Centroid,Member,TC Name,Group Label
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_353,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_95,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_257,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_450,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not as expected,TC_DATA_SET_315,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_332,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not as expected,TC_DATA_SET_489,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not as expected,TC_DATA_SET_314,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not as expected,TC_DATA_SET_432,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - Actual MEP status is No, Expected is Yes",TC_DATA_SET_130,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_213,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_141,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_138,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_97,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not as expected,TC_DATA_SET_197,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_258,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_354,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not as expected,TC_DATA_SET_196,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_331,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_352,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_449,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_215,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - Actual MEP status is No, Expected is Yes",TC_DATA_SET_366,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_22,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_472,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_23,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not as expected,TC_DATA_SET_78,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_139,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_376,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_256,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_96,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_21,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - Actual MEP status is No, Expected is Yes",TC_DATA_SET_367,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_118,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - Actual MEP status is No, Expected is Yes",TC_DATA_SET_12,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_234,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - MEP status is No
",TC_DATA_SET_20,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes","        Unanalyzed - Actual MEP status is No, Expected is Yes",TC_DATA_SET_248,Group04
9,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Unanalyzed - MEP status is not Yes,TC_DATA_SET_214,Group04
