Main Category,Test Plan Name,TC Name,Test Level,Mode,Comments,Group Label
General_Management,SNMP,TC_DATA_SET_353,Regression2,auto,Unanalyzed - MEP status is not Yes,Group04
Interfaces,Port,TC_DATA_SET_423,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting not failed,Group09
General_Management,Alarm,TC_DATA_SET_154,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Interfaces,NFV,TC_DATA_SET_437,Regression2,auto,Unanalyzed - Number of records not as expected,Group10
General_Management,SNMP,TC_DATA_SET_95,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
General_Management,SNMP,TC_DATA_SET_343,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Acceptance,Acceptance,TC_DATA_SET_251,Regression3,auto,Unanalyzed - Could not set ip on vlan,Group05
General_Management,SNMP,TC_DATA_SET_456,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value = 0,Group07
General_Management,Alarm,TC_DATA_SET_156,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value should be grather than 0,Group07
General_Management,SNMP,TC_DATA_SET_385,Regression3,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Interfaces,LLDP,TC_DATA_SET_474,Regression2,auto,TWAMP-Sender Operational have status not as expected,Group08
Acceptance,Acceptance,TC_DATA_SET_238,Regression1,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
General_Management,SNMP,TC_DATA_SET_502,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
General_Management,SNMP,TC_DATA_SET_457,Regression3,auto,Unanalyzed - Two-Way Frame Delay min value = 0,Group07
General_Management,Alarm,TC_DATA_SET_346,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Interfaces,Port,TC_DATA_SET_425,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting passed,Group09
Interfaces,Port,TC_DATA_SET_307,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting passed,Group09
General_Management,SNMP,TC_DATA_SET_257,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
General_Management,Alarm,TC_DATA_SET_390,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Interfaces,Port,TC_DATA_SET_194,Regression2,auto,Unanalyzed - Invalid interface configuration reporting passed,Group09
General_Management,Alarm,TC_DATA_SET_398,Regression2,auto,Configuration of invalid interface reporting not failed,Group09
General_Management,SNMP,TC_DATA_SET_450,Regression2,auto,Unanalyzed - MEP status is not Yes,Group04
Acceptance,Acceptance,TC_DATA_SET_242,Regression2,auto,"        Need investigationFailed because of a first level exception 
",Group02
Acceptance,Acceptance,TC_DATA_SET_126,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
General_Management,SNMP,TC_DATA_SET_143,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
Interfaces,Port,TC_DATA_SET_315,Regression3,auto,Unanalyzed - MEP status is not as expected,Group04
General_Management,Alarm,TC_DATA_SET_405,Regression2,auto,Issue-123: Offload flag enabled,Group01
Acceptance,Acceptance,TC_DATA_SET_127,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
Acceptance,Acceptance,TC_DATA_SET_134,Regression2,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
Acceptance,Acceptance,TC_DATA_SET_372,Regression1,auto,"        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ",Group06
Interfaces,NFV,TC_DATA_SET_441,Regression1,auto,Unanalyzed - Set ip on vlan is not successful,Group05
